uuid,badge_id
xTPOLETd,hundred_club
n,
xTPOLETd,first_donation
UiLQD893,team_player
on,
UiLQD893,first_donation
UiLQD893,wisdom_supporter
x2vy4Dxo,first_donation
x2vy4Dxo,hundred_club
x2vy4Dxo,team_player
1oLk8caF,first_donation
1oLk8caF,team_player
1oLk8caF,hundred_club
1oLk8caF,wisdom_supporter
1oLk8caF,all_paths
1oLk8caF,courage_supporter
1oLk8caF,protection_supporter
1oLk8caF,service_volunteer
1oLk8caF,team_leader
1oLk8caF,community_leader
1oLk8caF,five_hundred_club
1oLk8caF,service_supporter
